indicator,region,source,hazard_class,category,subcategory,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,years_with_data
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Скляні відходи,100.0,100.0,100.0,100.0,100.0,700.0,100.0,100.0,100.0,200.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Звичайний осад,4100.0,5400.0,5800.0,6000.0,6300.0,6100.0,1900.0,900.0,200.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Деревні відходи,4400.0,3400.0,4400.0,1100.0,1800.0,1500.0,1800.0,1500.0,8500.0,10400.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Осад промислових стоків,27000.0,34100.0,41000.0,49800.0,24800.0,49000.0,63600.0,7800.0,39300.0,18400.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Непридатні транспортні засоби,0.0,100.0,0.0,0.0,100.0,100.0,200.0,,0.0,0.0,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),"Тваринні екскременти, сеча та гній",92000.0,75100.0,15700.0,50700.0,20100.0,21500.0,52500.0,44800.0,35500.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Використані розчинники,1300.0,800.0,1000.0,800.0,1100.0,2000.0,2000.0,1300.0,1400.0,900.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Паперові та картонні відходи,300.0,300.0,200.0,100.0,200.0,100.0,100.0,100.0,200.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Текстильні відходи,900.0,5100.0,1400.0,1100.0,1500.0,1500.0,1800.0,1400.0,1300.0,,9
Обсяг утворених відходів,Івано-Франківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,5000.0,,600.0,1300.0,5100.0,4
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),"Інші мінеральні відходи (за виключенням пунктів 12.1, 12.4, 12.6, 12.7, 12.8)",5100.0,59300.0,64500.0,17500.0,57000.0,51800.0,61800.0,3900.0,2800.0,9200.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),"Мінеральні відходи будівництва та знесення об'єктів, у тому числі змішані будівельні відходи",400.0,700.0,700.0,2000.0,600.0,300.0,200.0,100.0,100.0,1200.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Пластикові відходи,38500.0,48200.0,45300.0,44800.0,46300.0,38400.0,53800.0,60500.0,37300.0,34900.0,10
Обсяг утворених відходів,Дніпропетровська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,227076800.0,205850100.0,243114700.0,243598800.0,252234500.0,,,,114631500.0,,6
Обсяг утворених відходів,Закарпатська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,145000.0,,144400.0,161800.0,175900.0,4
Обсяг утворених відходів,Донецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,26835900.0,,7175700.0,7250800.0,4857800.0,4
Обсяг утворених відходів,Вінницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,400.0,600.0,700.0,800.0,1000.0,,,,1700.0,,6
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи акумуляторів та батарей,1100.0,0.0,0.0,0.0,0.0,0.0,300.0,,300.0,300.0,9
Обсяг утворених відходів,Вінницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,1200.0,,2000.0,1400.0,700.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Пуста порода від днопоглиблювальних робіт,23125100.0,12500100.0,45028000.0,26126000.0,101361900.0,11947500.0,11965500.0,6366300.0,8198799.999999999,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Усього,587300.0,621000.0,605300.0,627400.0,553000.0,532000.0,608100.0,246900.0,222200.0,98800.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Хімічні відходи,898700.0,925900.0,816800.0,790800.0,604000.0,645700.0,517100.0,160700.0,312900.0,3300.0,10
Обсяг утворених відходів,Волинська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,638900.0,684000.0,733100.0,555400.0,668100.0,,,,394100.0,,6
Обсяг утворених відходів,Донецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,16758200.0,20059500.0,22263600.0,23957600.0,26260600.0,,,,7392200.0,,6
Обсяг утворених відходів,Кіровоградська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,498100.0,,460400.0,516600.0,417900.0,4
Обсяг утворених відходів,Київська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,1660500.0,1561300.0,1265600.0,1394000.0,1414300.0,,,,940200.0,,6
Обсяг утворених відходів,Київська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,5900.0,,5300.0,6000.0,6000.0,4
Обсяг утворених відходів,Івано-Франківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,2124800.0,1935400.0,1948800.0,1969800.0,2991700.0,,,,1790500.0,,6
Обсяг утворених відходів,Закарпатська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,133700.0,155600.0,173400.0,186300.0,153100.0,,,,172000.0,,6
Обсяг утворених відходів,Волинська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,630200.0,,562200.0,398000.0,398500.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Використані розчинники,30300.0,300.0,0.0,400.0,400.0,400.0,200.0,3200.0,200.0,,9
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи кольорових металів,18800.0,17000.0,20800.0,34200.0,22500.0,20900.0,23000.0,17600.0,16400.0,24100.0,10
Обсяг утворених відходів,Житомирська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,397200.0,,377700.0,391300.0,570800.0,4
Обсяг утворених відходів,Івано-Франківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,1729800.0,,650000.0,729200.0,668500.0,4
Обсяг утворених відходів,Дніпропетровська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,25900.0,,47400.0,16600.0,17100.0,4
Обсяг утворених відходів,Київська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,16800.0,25700.0,7100.0,2200.0,1900.0,,,,5000.0,,6
Обсяг утворених відходів,Вінницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,1556500.0,,730500.0,1114600.0,846300.0,4
Обсяг утворених відходів,Донецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,119300.0,146200.0,171000.0,152600.0,147300.0,,,,5700.0,,6
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Гумові відходи,20900.0,16800.0,22700.0,19200.0,17700.0,17800.0,18800.0,13600.0,15500.0,33200.0,10
Обсяг утворених відходів,Волинська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,600.0,400.0,900.0,900.0,900.0,,,,800.0,,6
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),"Відходи, що містять поліхлордифеніли",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,9
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Осад промислових стоків,3182900.0,3885700.0,3607700.0,3580500.0,3321300.0,3413100.0,3194700.0,434300.0,720400.0,407400.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Ґрунтові відходи,500.0,1000.0,600.0,500.0,600.0,500.0,900.0,700.0,900.0,100.0,10
Обсяг утворених відходів,Житомирська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,518299.99999999994,550400.0,550300.0,486200.0,474500.0,,,,432500.0,,6
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),"Тваринні екскременти, сеча та гній",4846000.0,4213600.0,3637700.0,3183100.0,3592800.0,3293200.0,3216200.0,2804800.0,2956000.0,2567800.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Ґрунтові відходи,787700.0,500700.0,366600.0,451200.0,1360000.0,1332300.0,1052900.0,645200.0,631700.0,29800.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Непридатні транспортні засоби,3100.0,1900.0,1200.0,1600.0,1100.0,900.0,10400.0,200.0,400.0,900.0,10
Обсяг утворених відходів,Кіровоградська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,33344699.999999996,34408100.0,37623300.0,37902000.0,37410300.0,,,,21712700.0,,6
Обсяг утворених відходів,Волинська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,629500.0,,561300.0,397400.0,397900.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Звичайний осад,393500.0,688200.0,509300.0,637500.0,557000.0,328000.0,441800.0,260800.0,366400.0,953700.0,10
Обсяг утворених відходів,Київська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,2153600.0,,626500.0,988900.0,1118500.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),"Відходи кислот, лугів чи солей",272100.0,142600.0,65400.00000000001,220600.0,243800.0,231700.0,329100.0,90800.0,95000.0,100.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи чорних металів,3246900.0,3576100.0,3416100.0,3266500.0,2684300.0,2419700.0,2548700.0,558400.0,468600.0,374600.0,10
Обсяг утворених відходів,Волинська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,700.0,,900.0,600.0,600.0,4
Обсяг утворених відходів,Донецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,145300.0,,3000.0,500.0,100.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Побутові та подібні відходи,6786200.0,6929300.0,6183000.0,6211000.0,6617900.0,6670500.0,6482100.0,5439500.0,4953300.0,5485100.0,10
Обсяг утворених відходів,Закарпатська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,143700.0,,142600.0,160200.0,175200.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Паперові та картонні відходи,110700.0,184200.0,183300.0,146300.0,129300.00000000001,140700.0,186800.0,569700.0,169500.0,170500.0,10
Обсяг утворених відходів,Дніпропетровська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,309372500.0,,140151100.0,135343400.0,174302200.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Текстильні відходи,7100.0,13700.0,19400.0,14800.0,10900.0,20400.0,12400.0,19400.0,6500.0,6500.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Шлами та рідкі відходи очисних споруд,243900.0,835200.0,968100.0,790300.0,789300.0,850700.0,1032200.0,651700.0,281400.0,14400.0,10
Обсяг утворених відходів,Київська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,1643700.0,1535600.0,1258500.0,1391800.0,1412400.0,,,,935200.0,,6
Обсяг утворених відходів,Івано-Франківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,2121500.0,1932600.0,1941900.0,1966000.0,2985900.0,,,,1781800.0,,6
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),"Мінеральні відходи будівництва та знесення об'єктів, у тому числі змішані будівельні відходи",897100.0,821800.0,973400.0,1021100.0,918800.0,872900.0,835900.0,319800.0,545500.0,592000.0,10
Обсяг утворених відходів,Київська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,2147700.0,,621200.0,982900.0,1112500.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Непридатне обладнання,13200.0,9300.0,13100.0,8100.0,4100.0,3600.0,5200.0,1800.0,13800.0,10000.0,10
Обсяг утворених відходів,Донецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,16877500.0,20205700.0,22434600.0,24110200.0,26407900.0,,,,7397900.0,,6
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),"Інші мінеральні відходи (за виключенням пунктів 12.1, 12.4, 12.6, 12.7, 12.8)",235695100.0,225824200.0,265537500.0,273103300.0,286728600.0,404597600.0,436953200.0,175374100.0,152472800.0,217757500.0,10
Обсяг утворених відходів,Кіровоградська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,498700.0,,461000.0,517200.00000000006,421200.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи рослинного походження,7742100.0,8605500.0,8781800.0,7828400.0,8067500.0,6101700.0,4431300.0,3128900.0,4642800.0,2219100.0,10
Обсяг утворених відходів,Дніпропетровська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,227022500.0,205798300.0,243061400.0,243572500.0,252202600.0,,,,114612800.0,,6
Обсяг утворених відходів,Запорізька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,15900.0,,4600.0,2500.0,2500.0,4
Обсяг утворених відходів,Волинська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,638300.0,683600.0,732200.0,554500.0,667200.0,,,,393300.0,,6
Обсяг утворених відходів,Вінницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,1949900.0,1926900.0,2341000.0,1781400.0,2710200.0,,,,1534400.0,,6
Обсяг утворених відходів,Запорізька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,5531000.0,,1725800.0,1418700.0,1399400.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Відпрацьовані оливи,1300.0,900.0,100.0,0.0,200.0,300.0,100.0,700.0,300.0,,9
Обсяг утворених відходів,Донецька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,26981200.0,,7178700.0,7251300.0,4857900.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Змішані та недиференційовані матеріали,7341800.0,9373300.0,9626300.0,9092000.0,9866800.0,6845100.0,6675300.0,1289200.0,1456200.0,2055699.9999999998,10
Обсяг утворених відходів,Запорізька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,5463300.0,5040800.0,5129400.0,5294400.0,5403300.0,,,,860100.0,,6
Обсяг утворених відходів,Житомирська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,517600.0,549500.0,549300.0,485100.0,473300.0,,,,431000.0,,6
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),"Затверділі, стабілізовані або засклянілі відходи; мінеральні відходи, що утворюються після переробки",10600.0,7300.0,9800.0,9700.0,9900.0,8300.0,8700.0,1500.0,200.0,100.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи згоряння,55100.0,18000.0,20800.0,54400.0,16500.0,17400.0,19400.0,5800.0,6700.0,1800.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Скляні відходи,22200.0,25700.0,34200.0,41800.0,19700.0,20300.0,23500.0,11500.0,14200.0,12400.0,10
Обсяг утворених відходів,Кіровоградська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,600.0,,600.0,600.0,3300.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Деревні відходи,678700.0,930400.0,775500.0,828700.0,826100.0,748600.0,695900.0,649100.0,650600.0,534000.0,10
Обсяг утворених відходів,Кіровоградська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,33338199.999999996,34402100.0,37617100.0,37895900.0,37406600.0,,,,21711800.0,,6
Обсяг утворених відходів,Дніпропетровська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,54300.0,51800.0,53300.0,26300.0,31900.0,,,,18700.0,,6
Обсяг утворених відходів,Запорізька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,19000.0,16000.0,17500.0,18300.0,16400.0,,,,3800.0,,6
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи від медичної допомоги та біологічні,700.0,500.0,400.0,500.0,700.0,800.0,900.0,900.0,1100.0,1600.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи згоряння,13840900.0,13811900.0,14136200.0,13536000.0,12645000.0,10828300.0,11541300.0,4917300.0,3661600.0,4460900.0,10
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи тваринного походження та змішані харчові відходи,878800.0,977000.0,571500.0,589100.0,427600.0,391100.0,353300.0,282100.0,241400.0,136000.0,10
Обсяг утворених відходів,Вінницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,1557700.0,,732500.0,1116000.0,847000.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),"Затверділі, стабілізовані або засклянілі відходи; мінеральні відходи, що утворюються після переробки",511600.0,303900.0,39100.0,41700.0,15800.0,14400.0,16100.000000000002,19800.0,18000.0,45600.0,10
Обсяг утворених відходів,Закарпатська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,1300.0,,1800.0,1600.0,700.0,4
Обсяг утворених відходів,Івано-Франківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,3300.0,2800.0,6900.0,3800.0,5800.0,,,,8700.0,,6
Обсяг утворених відходів,Кіровоградська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,6500.0,6000.0,6200.0,6100.0,3700.0,,,,900.0,,6
Обсяг утворених відходів,Запорізька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,5515100.0,,1721200.0,1416200.0,1396900.0,4
Обсяг утворених відходів,Закарпатська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,2500.0,1400.0,1200.0,600.0,700.0,,,,1600.0,,6
Обсяг утворених відходів,Житомирська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,396200.0,,377100.0,390000.0,570300.0,4
Обсяг утворених відходів,Вінницька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,1950300.0,1927500.0,2341700.0,1782200.0,2711200.0,,,,1536100.0,,6
Обсяг утворених відходів,Житомирська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,700.0,900.0,1000.0,1100.0,1200.0,,,,1500.0,,6
Обсяг утворених відходів,Дніпропетровська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,309398400.0,,140198500.0,135360000.0,174319300.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Залишки сортування,35500.0,77600.0,61700.0,63500.0,69100.0,35100.0,31400.0,13600.0,13000.0,4000.0,10
Обсяг утворених відходів,Івано-Франківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,1724800.0,,649400.0,727900.0,663400.0,4
Обсяг утворених відходів,Запорізька,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,5444300.0,5024800.0,5111900.0,5276100.0,5386900.0,,,,856300.0,,6
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Змішані відходи чорних та кольорових металів,7800.0,7600.0,6500.0,33500.0,13000.0,9800.0,13600.0,6000.0,12700.0,304400.0,10
Обсяг утворених відходів,Закарпатська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,131200.0,154200.0,172200.0,185700.0,152400.0,,,,170400.0,,6
Обсяг утворених відходів,Житомирська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,1000.0,,600.0,1300.0,500.0,4
Обсяг утворених відходів,Україна,Загалом,IV. Не небезпечні відходи,За категоріями відходів за матеріалом (МП),Усього,311680300.0,295249100.0,365448700.0,351706500.0,440963500.0,461841500.0,492663000.0,204111600.0,182974600.0,238239800.0,10
Обсяг утворених відходів,Тернопільська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,797800.0,853100.0,1893900.0,1636900.0,1049700.0,,,,1453000.0,,6
Обсяг утворених відходів,Одеська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,599200.0,639400.0,737300.0,726600.0,636800.0,,,,235700.0,,6
Обсяг утворених відходів,Черкаська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,700.0,,800.0,1000.0,1300.0,4
Обсяг утворених відходів,Рівненська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,886200.0,,569400.0,487900.0,552700.0,4
Обсяг утворених відходів,Сумська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,148200.0,,63200.0,26200.0,4000.0,4
Обсяг утворених відходів,Миколаївська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-III. Небезпечні відходи,Загалом,Загалом,,,,,,33600.0,,30000.0,50700.0,1100.0,4
Обсяг утворених відходів,Харківська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",I-IV. Відходи в цілому,Загалом,Загалом,,,,,,1487800.0,,636600.0,753400.0,739900.0,4
Обсяг утворених відходів,Львівська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,Загалом,Загалом,1500.0,2100.0,2600.0,2700.0,4100.0,,,,2300.0,,6
Обсяг утворених відходів,Тернопільська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,271600.0,,301600.0,1434700.0,511600.0,4
Обсяг утворених відходів,Полтавська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,Загалом,Загалом,4379200.0,5369800.0,35046300.0,19724800.0,97362900.0,,,,23099800.0,,6
Обсяг утворених відходів,Одеська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем реєстрації",IV. Не небезпечні відходи,Загалом,Загалом,,,,,,453700.0,,203000.0,194500.0,226200.0,4
Обсяг утворених відходів,Черкаська,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,Загалом,Загалом,1179200.0,1219200.0,1295100.0,1484600.0,1259600.0,,,,1538800.0,,6
