indicator,region,source,hazard_class,category,subcategory,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,years_with_data
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,"Постачання електроенергії, газу, пари та кондиційованого повітря",6597500.0,7511500.0,6191700.0,6322700.0,,5333700.0,,3164300.0,3407100.0,2607100.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,,,,,,12700.0,,9400.0,,11100.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Добування інших корисних копалин та розроблення кар'єрів,1921600.0,4378100.0,6956400.0,8038300.0,,9299700.0,,223400.0,155800.0,413400.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Відходи акумуляторів та батарей,7200.0,4000.0,4100.0,3800.0,4500.0,4200.0,5000.0,2100.0,4400.0,3200.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Виробництво харчових продуктів,,,,,,37500.0,,2400.0,,5700.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,"Каналізація, відведення й очищення стічних вод",100.0,0.0,200.0,100.0,,0.0,,,0.0,0.0,7
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Добування металевих руд,,,,,,9900.0,,2800.0,,900.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Інші види економічної діяльності,1047200.0,984600.0,998700.0,751300.0,,,,1477200.0,880700.0,1280800.0,7
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,"Збирання, оброблення й видалення відходів; відновлення матеріалів",180000.0,136200.0,110200.0,72500.0,,10400.0,,167800.0,106500.0,113100.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Шлами та рідкі відходи очисних споруд,249800.0,838300.0,971700.0,793900.0,792200.0,860600.0,1035000.0,658800.0,284700.0,14500.0,10
